last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	Assign9	attendance	homework %	Midterm	Final	total	grade
6510	8	15	20	19	20	20	19	20	18	20	96.76%	59	45	68.50	1.4
7866	9	15	20	19	20	20	14	20	4	20	87.03%	82	43	68.41	1.4
0614	10	15	18	18	18	19	19	5	16	20	85.41%	58	56	68.16	1.4
0636	7	15	20	19	16	19	4	14	18	20	82.16%	68	54	68.06	1.4
1709	8	15	20	17	17	20	19	20	18	20	94.05%	68	41	67.62	1.3
5168	9	14	20	18	17	20	20	19	8	20	89.19%	69	45	67.48	1.3
3435	8	15	20	20	20	20	18	18	 	9	80.00%	 	87	66.80	1.3
8506	8	15	20	16	18	19	19	16	15	20	89.73%	68	43	66.69	1.2
4005	9	15	20	19	17	20	12	16	16	20	88.65%	73	41	66.46	1.2
1471	10	15	20	18	19	20	19	15	8	18	87.57%	66	45	66.23	1.2
5337	8	13	17	18	16	19	 	12	14	18	72.97%	73	56	66.19	1.2
1741	6	15	14	19	14	16	12	19	17	20	82.16%	74	46	66.06	1.2
6100	7	15	18	14	19	12	6	 	13	20	67.03%	80	58	66.01	1.2
0458	9	15	15	15	10	19	18	9	18	20	80.00%	62	54	66.00	1.2
3861	9	15	18	16	17	20	14	20	17	18	88.65%	75	37	65.26	1.1
1021	7	15	20	17	18	20	18	20	19	20	94.05%	58	39	64.82	1.1
1036	10	15	18	0	16	19	6	7	16	20	68.65%	75	55	64.46	1.0
7979	9	14	19	17	18	19	19	18	17	20	91.89%	58	40	64.36	1.0
0165	9	15	20	20	20	 	16	20	 	20	75.68%	63	53	64.07	1.0
7478	7	15	20	19	20	15	 	8	8	20	71.35%	68	54	63.74	0.9
3526	9	15	20	19	20	20	20	 	 	20	77.30%	86	39	63.72	0.9
4975	9	15	15	19	20	20	4	 	18	20	75.68%	69	48	63.27	0.9
0165	7	14	18	19	14	20	 	2	18	20	71.35%	79	47	63.14	0.9
8060	10	15	15	18	14	19	4	3	13	15	68.11%	60	59	62.84	0.9
9285	8	13	16	18	18	20	11	12	18	20	83.24%	61	43	62.70	0.9
7160	9	15	20	18	19	20	 	 	3	18	65.95%	98	41	62.38	0.8
4282	7	14	19	17	5	16	15	13	9	20	72.97%	49	58	62.19	0.8
8304	10	15	20	18	13	17	17	8	 	15	71.89%	51	58	62.16	0.8
6295	9	15	17	13	13	10	4	 	6	20	57.84%	73	61	62.14	0.8
4015	9	14	20	19	0	20	8	 	 	12	55.14%	88	56	62.05	0.8
7409	6	14	20	19	19	20	16	20	18	20	92.97%	56	34	61.99	0.8
8466	6	14	20	15	19	12	4	0	13	12	62.16%	75	54	61.46	0.8
7381	9	4	20	19	15	19	15	 	18	20	75.14%	68	43	60.85	0.8
6192	5	12	12	0	16	12	 	8	17	15	52.43%	77	61	60.77	0.8
6602	9	15	20	15	13	16	15	17	15	20	83.78%	47	43	60.11	0.7
5374	9	15	20	17	16	 	8	3	16	20	67.03%	74	45	59.61	0.7
3167	7	15	20	18	18	20	 	12	 	20	70.27%	76	40	59.31	0.7
0091	7	9	18	15	16	20	10	15	18	15	77.30%	51	45	59.12	0.7
0206	9	15	17	18	15	19	17	2	20	18	81.08%	46	40	57.63	0.7
8725	10	15	20	14	17	12	 	7	 	12	57.84%	58	56	57.14	0.7
1720	6	15	17	13	16	17	18	 	14	18	72.43%	52	44	56.97	0.7
3397	8	15	17	16	18	16	 	 	 	15	56.76%	74	48	56.70	0.7
8540	7	15	20	17	13	18	0	20	15	20	78.38%	39	41	55.55	0.0
3078	9	15	0	0	19	19	15	20	19	20	73.51%	62	34	55.41	0.0
9202	7	15	19	18	16	18	18	20	 	20	81.62%	46	33	55.05	0.0
5428	7	15	20	16	20	20	0	19	18	20	83.78%	67	20	54.91	0.0
3841	9	13	17	10	15	19	 	8	 	12	55.68%	55	50	53.27	0.0
4508	7	15	18	17	16	20	9	 	9	18	69.73%	44	39	52.29	0.0
6317	7	12	20	16	18	18	 	 	16	20	68.65%	50	37	52.26	0.0
3191	6	12	17	19	18	18	17	20	16	12	83.78%	48	20	51.11	0.0
5039	7	 	16	17	19	20	17	8	13	18	72.97%	65	22	50.99	0.0
7710	7	15	18	18	19	19	 	 	 	18	61.62%	78	24	49.85	0.0
7980	7	15	20	17	12	20	 	 	12	20	66.49%	46	35	49.79	0.0
8789	7	15	18	18	17	17	4	 	 	20	62.70%	48	36	49.08	0.0
9412	8	15	20	 	16	17	10	 	 	15	54.59%	62	30	46.24	0.0
3504	7	11	17	20	18	20	 	 	10	18	65.41%	50	21	44.56	0.0
2472	8	15	18	13	17	19	11	0	8	20	69.73%	26	28	44.29	0.0
5590	7	 	 	 	 	 	 	 	 	20	14.59%	96	47	43.84	0.0
9205	9	15	20	15	20	19	 	 	4	20	65.95%	37	20	41.78	0.0
5018	9	15	14	17	18	17	3	 	 	20	61.08%	49	18	41.43	0.0
6297	7	15	18	17	18	20	8	 	0	3	57.30%	32	27	40.12	0.0
2409	9	15	18	19	20	20	 	 	 	12	61.08%	74	 	39.23	0.0
8517	7	12	18	13	18	 	 	 	15	18	54.59%	60	9	37.44	0.0
