last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
7950	9	16	15	15	9	12	17	18	 	20	78.92%	72	59	65	71.97	1.7
6467	10	15	18	15	15	16	17	 	4	20	75.90%	82	57	63	71.96	1.7
1876	10	16	20	17	18	16	16	20	5	20	92.17%	63	50	56	71.87	1.7
4326	9	14	12	18	14	0	20	16	 	20	74.10%	71	64	70	71.84	1.7
5511	8	13	20	19	16	17	18	19	4	20	90.36%	72	47	53	71.74	1.7
8877	9	15	19	16	16	11	15	18	5	20	83.73%	79	50	56	71.69	1.7
1471	7	 	19	13	14	9	13	18	 	20	68.07%	86	62	68	71.63	1.7
2136	8	16	20	18	16	19	20	14	4	20	90.96%	76	44	50	71.59	1.7
0318	10	16	16	20	16	15	13	9	4	20	81.33%	75	54	60	71.53	1.7
4512	10	15	20	17	16	0	9	18	5	20	75.30%	81	57	63	71.52	1.7
8447	8	14	18	18	18	16	17	17	3	20	87.95%	77	46	52	71.38	1.6
0346	8	15	20	16	18	19	18	20	5	20	92.77%	65	47	53	71.31	1.6
5890	9	16	14	18	 	 	16	11	5	20	62.65%	93	63	69	71.26	1.6
2812	7	16	16	19	14	15	18	19	2	20	86.75%	84	43	49	71.10	1.6
2169	9	15	18	18	14	12	18	19	4	20	86.14%	75	48	54	71.06	1.6
8226	 	14	10	7	10	13	19	16	 	20	65.66%	67	72	78	70.87	1.6
8474	7	15	19	17	17	18	 	 	 	20	68.07%	80	63	69	70.83	1.6
6839	8	15	14	19	18	14	17	12	3	20	82.53%	79	49	55	70.81	1.6
2314	10	15	12	17	17	9	19	19	4	20	83.13%	74	50	56	70.45	1.5
4727	10	15	 	8	 	15	 	16	5	20	50.60%	75	82	88	70.44	1.5
0892	10	16	19	15	14	0	12	14	5	20	72.29%	83	56	62	70.32	1.5
1924	8	15	18	18	10	13	16	19	4	20	82.53%	76	49	55	70.21	1.5
2506	10	16	18	19	16	19	17	16	5	20	90.96%	61	48	54	70.19	1.5
6191	8	15	13	15	16	18	16	19	4	20	84.34%	58	56	62	70.13	1.5
