code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
18003	16	15	14	18	14	17	16	27	 	5	0	80.6%	87	89	74	79.64	3.0
18009	18	14	14	16	18	17	14	26	 	0	0	80.6%	84	86	75	79.44	3.0
18090	17	18	19	18	20	19	17	29	2	0	9	95.3%	77	79	82	86.72	3.6
18126	15	15	17	18	12	 	 	 	 	5	0	45.3%	56	58	53	50.92	0.7
18784	17	15	17	19	16	15	17	25	 	5	0	82.9%	58	60	70	73.18	2.5
18937	16	19	18	18	19	13	11	5	 	5	5	71.0%	82	84	68	72.39	2.4
19020	18	17	16	17	18	18	17	29	 	3	0	88.2%	86	88	78	84.09	3.4
19076	14	16	18	18	15	15	18	27	 	0	0	82.9%	76	78	69	76.38	2.7
19372	18	16	17	16	15	18	17	29	 	3	0	85.9%	94	96	70	81.55	3.2
19764	19	17	15	17	17	19	16	25	 	5	0	85.3%	71	73	91	85.12	3.5
19821	16	19	18	17	20	20	19	25	 	2	0	90.6%	97	99	90	92.04	4
19880	15	17	16	14	15	14	15	23	 	5	0	75.9%	86	88	73	77.15	2.8
19918	16	17	16	17	14	19	20	28	 	4	0	86.5%	70	72	72	77.79	2.9
19950	18	19	18	17	19	20	16	27	 	0	0	90.6%	75	77	68	78.84	2.9
19956	15	17	19	17	19	16	17	26	 	5	1	86.1%	95	97	73	83.03	3.3
20458	16	16	10	17	12	11	7	16	 	5	0	61.8%	91	93	66	69.71	2.2
20503	17	15	17	17	17	19	17	23	 	4	0	83.5%	52	54	65	70.21	2.2
20848	20	16	19	19	18	18	11	29	 	4	0	88.2%	72	74	77	80.89	3.1
20849	18	18	19	16	19	19	20	29	 	3	0	92.9%	89	91	88	90.58	3.9
20909	14	16	17	16	19	14	19	30	2	3	3	87.1%	86	88	86	86.82	3.6
21338	17	16	18	16	17	14	17	23	 	5	0	81.2%	79	81	79	80.27	3.1
21356	15	17	13	17	17	15	15	24	 	0	1	78.4%	77	79	78	78.37	2.9
21679	15	17	19	16	16	19	20	29	 	0	1	89.0%	99	100	91	92.01	4
21711	17	19	19	16	18	17	20	29	2	0	8	93.9%	97	99	84	90.97	3.9
21908	15	14	16	13	16	14	3	24	 	4	0	67.6%	70	72	62	66.26	1.9
22413	19	17	19	18	15	18	17	26	 	0	6	88.8%	74	76	83	83.93	3.4
22669	18	15	17	18	19	16	17	28	 	4	3	87.6%	68	70	74	78.66	2.9
22738	18	16	19	19	19	17	19	28	 	0	0	91.2%	78	80	85	86.47	3.6
22833	18	20	20	19	20	20	19	30	 	4	0	97.6%	92	94	83	91.06	3.9
22887	20	18	18	20	20	19	19	30	 	5	0	96.5%	88	90	84	90.19	3.9
23282	19	17	20	19	17	17	19	30	2	1	9	95.9%	96	98	91	94.35	4
23373	18	17	19	18	20	19	15	27	2	5	0	91.2%	73	75	77	82.27	3.2
23604	19	18	17	16	20	16	19	29	 	4	0	90.6%	87	89	71	82.44	3.2
23607	16	18	19	16	17	16	19	27	 	4	0	87.1%	83	85	75	81.82	3.2
23670	19	17	20	18	20	17	20	28	2	3	0	94.7%	97	99	87	92.48	4
23727	17	18	17	18	19	14	19	30	 	3	5	90.4%	73	75	72	79.96	3.0
24567	16	16	18	17	17	17	11	27	 	5	0	81.8%	85	87	77	80.91	3.1
24718	19	19	19	19	18	20	18	26	 	5	0	92.9%	86	88	74	84.38	3.4
24756	20	19	20	20	20	19	14	30	 	1	0	95.3%	73	75	70	81.12	3.1
24763	17	17	18	18	19	15	19	25	 	4	0	87.1%	60	62	74	76.82	2.8
24808	16	16	18	17	16	15	16	29	 	5	0	84.1%	76	78	73	78.45	2.9
24812	16	18	18	16	16	17	18	29	 	5	0	87.1%	81	83	72	80.22	3.1
24817	19	16	19	16	17	14	19	28	 	1	0	87.1%	96	98	82	87.22	3.7
24823	18	17	18	17	19	16	18	26	 	1	0	87.6%	80	82	76	81.86	3.2
24823	17	16	16	15	15	11	17	23	 	5	0	76.5%	61	63	68	70.39	2.3
24913	15	17	12	17	18	16	15	26	 	0	0	80.0%	90	92	66	76.80	2.8
25069	17	16	19	19	18	18	18	17	 	3	0	83.5%	69	71	45	65.61	1.9
25163	14	12	16	14	12	19	10	21	 	5	0	69.4%	59	61	54	61.56	1.5
25230	15	17	9	7	15	13	5	14	 	5	0	55.9%	62	64	59	58.75	1.3
25524	19	19	19	20	19	18	19	27	 	1	0	94.1%	66	68	79	82.85	3.3
25653	19	20	20	20	19	18	20	25	 	0	0	94.7%	96	98	93	94.68	4
25708	19	16	18	15	18	17	19	26	 	4	0	87.1%	57	59	68	73.82	2.5
25780	17	18	19	18	18	18	18	23	 	2	0	87.6%	87	89	57	75.66	2.7
25809	16	18	15	15	17	18	15	28	 	3	0	83.5%	59	61	70	73.61	2.5
25932	17	14	17	18	14	17	18	23	 	5	5	82.2%	77	79	56	71.06	2.3
26029	16	16	15	17	17	20	19	29	 	5	0	87.6%	86	88	86	87.06	3.7
26196	18	16	17	13	17	16	17	29	 	5	0	84.1%	76	78	70	77.25	2.8
26217	14	16	16	17	19	19	14	22	 	5	0	80.6%	69	71	48	65.64	1.9
26580	19	19	20	20	18	13	18	24	 	3	0	88.8%	86	88	77	83.93	3.4
26643	19	17	14	19	19	17	19	27	 	3	0	88.8%	82	84	78	83.53	3.3
26868	18	13	9	 	8	5	 	 	 	5	0	31.2%	42	44	 	21.27	0.0
27057	18	18	18	18	18	18	18	25	0	0	0	88.8%	86	88	83	86.33	3.6
27227	13	15	13	10	18	13	18	24	 	0	0	72.9%	63	65	62	66.98	2.0
27451	16	17	20	19	15	18	19	27	 	1	0	88.8%	95	97	92	91.73	4
27510	18	15	11	3	8	0	 	 	 	5	0	32.4%	49	51	29	34.74	0.0
27624	15	14	15	15	14	17	12	26	 	4	0	75.3%	50	52	64	66.12	1.9
27666	18	14	14	18	17	19	17	15	 	5	0	77.6%	66	68	47	63.46	1.7
27852	18	16	20	16	15	17	17	24	 	2	3	84.7%	81	83	66	76.88	2.8
27854	16	 	 	 	 	 	 	 	 	5	0	9.4%	 	 	 	3.76	0.0
27867	15	16	16	13	16	16	16	23	 	3	0	77.1%	78	80	73	76.02	2.7
27889	16	16	19	19	19	19	16	23	2	4	6	88.8%	69	71	54	71.33	2.3
28236	16	16	12	13	17	14	17	22	 	5	2	75.1%	89	91	67	75.04	2.6
28716	18	17	19	16	18	17	19	27	 	0	0	88.8%	84	86	73	81.93	3.2
28723	18	19	15	18	17	16	19	26	 	5	0	87.1%	50	52	48	64.42	1.8
28859	18	17	19	15	13	19	19	29	 	3	0	87.6%	75	77	75	80.46	3.1
28861	16	16	19	17	17	15	14	25	 	0	0	81.8%	76	78	61	72.71	2.4
28952	20	18	19	19	20	20	19	29	2	0	9	99.4%	99	100	92	96.56	4
